cycle,tfsm,wac,out_valid,out_ready,pixel_valid,ch_done,ch3_5_en,ch_count,win_valid,phase_clear,mac_start,mac_done,out_ch_sel,rom_grp,psum_valid,psum_och,psum_pass,psum_data
197,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,8944680960
200,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,-1813126775
201,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,4,0,1,2,0,1111512451
202,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,5,0,1,3,0,2679667973
203,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,6,0,1,4,0,864084192
204,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,7,0,1,5,0,265350960
205,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,8,0,1,6,0,-362664509
206,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,9,0,1,7,0,-3693123266
207,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,10,0,1,8,0,199820992
208,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,11,0,1,9,0,879609593
209,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,12,0,1,10,0,202685364
210,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,13,0,1,11,0,-2210096267
211,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,14,0,1,12,0,-1032276940
212,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,15,0,1,13,0,2746328727
213,WAIT_MAC_02,IDLE,1,0,0,0,0,0,0,0,0,1,15,0,1,14,0,74940657
214,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,1,15,0,2807994056
215,CH02_IMG_IN,IDLE,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0
216,WAIT_MAC_02,IDLE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
219,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5664669696
220,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,960417259
221,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,4,0,1,2,0,5042849455
222,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,5,0,1,3,0,1442559002
223,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,6,0,1,4,0,-268888897
224,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,7,0,1,5,0,-1830157994
225,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,8,0,1,6,0,1645694896
226,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,9,0,1,7,0,-1574763834
227,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,10,0,1,8,0,-2048571081
228,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,11,0,1,9,0,-1426865411
229,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,12,0,1,10,0,-1272284561
230,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,13,0,1,11,0,-1026450271
231,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,14,0,1,12,0,-997744666
232,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,15,0,1,13,0,-1440114646
233,WAIT_MAC_02,IDLE,1,0,0,0,0,0,0,0,0,1,15,0,1,14,0,-699364846
234,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,1,15,0,-137681312
235,CH02_IMG_IN,IDLE,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0
236,WAIT_MAC_02,IDLE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
237,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
